casus,numerus,scriptum,genus
nominativus,singularis,tū
genitivus,singularis,tuī
dativus,singularis,tibi
accusativus,singularis,tē
ablativus,singularis,tē
nominativus,pluralis,vōs
genitivus,pluralis,vestrum
dativus,pluralis,vōbīs
accusativus,pluralis,vōs
ablativus,pluralis,vōbīs
