gradus,numerus,casus,scriptum,genus
positivus,singularis,ablativus,ī
positivus,singularis,locativus,ī
positivus,pluralis,genitivus,ium
positivus,pluralis,nominativus,ia,neutrum
positivus,pluralis,accusativus,ia,neutrum
positivus,pluralis,vocativus,ia,neutrum

