unicum,nuntium
anglicum.nuntium,The requested resource is missing
latinum.nuntium,Quaerenda res abest
anglica.titula,Absent page
latina.titula,Absens pagina
anglicum.caput,"Oops, 404!"
latinum.caput,Vae CDIV!
anglicum.actum,Go back
latinum.actum,Recipe
